index,tag,depth,id,classes,attrs,inner_text_len
0,html,1,,,{},668
1,head,2,,,{},0
2,meta,3,,,"{""name"": ""viewport"", ""content"": ""width=device-width, initial-scale=1""}",0
3,meta,3,,,"{""name"": ""robots"", ""content"": ""noindex, nofollow""}",0
4,meta,3,,,"{""http-equiv"": ""cache-control"", ""content"": ""no-cache, no-store, must-revalidate""}",0
5,meta,3,,,"{""http-equiv"": ""pragma"", ""content"": ""no-cache""}",0
6,meta,3,,,"{""http-equiv"": ""expires"", ""content"": ""0""}",0
7,script,3,,,{},606
8,script,3,,,{},1570
9,script,3,,,{},416
10,body,2,,,{},668
11,div,3,,container,{},519
12,script,4,,,{},71
13,h1,4,,,{},23
14,p,4,,,{},122
15,ul,4,,,{},273
16,li,5,,,{},71
17,li,5,,,{},44
18,li,5,,,{},158
19,a,6,,,"{""title"": ""Third party browser plugins that block javascript"", ""href"": ""http://ds.tl/help-third-party-plugins"", ""target"": ""_blank""}",15
20,p,4,,,{},101
21,div,3,interstitial-inprogress,,"{""style"": ""display: none""}",149
22,div,4,interstitial-inprogress-box,,{},149
23,h3,5,,,{},15
24,p,5,,,{},109
25,p,5,,,{},25
26,script,3,,,{},302
