index,tag,depth,char_count,word_count,text
0,h1,4,23,3,Pardon Our Interruption
1,p,4,122,23,As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:
2,li,5,71,11,You're a power user moving through this website with super-human speed.
3,li,5,44,7,You've disabled cookies in your web browser.
4,li,5,160,23,"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this support article ."
5,a,6,15,2,support article
6,p,4,101,16,"To regain access, please make sure that cookies and JavaScript are enabled before reloading the page."
7,h3,5,15,3,Please stand by
8,p,5,109,21,"We're getting everything ready for you. The page is loading, and you'll be on your way in just a few moments."
9,p,5,25,4,Thanks for your patience!
