index,tag,depth,id,classes,attrs,inner_text_len
0,html,1,,language-en,"{""lang"": ""en""}",3472
1,head,2,,,{},7
2,meta,3,,,"{""http-equiv"": ""Content-type"", ""content"": ""text/html; charset=UTF-8""}",0
3,meta,3,,,"{""http-equiv"": ""X-UA-Compatible"", ""content"": ""IE=edge""}",0
4,meta,3,,,"{""name"": ""viewport"", ""content"": ""width=device-width, initial-scale=1.0""}",0
5,meta,3,,,"{""name"": ""rating"", ""content"": ""RTA-5042-1996-1400-1577-RTA""}",0
6,title,3,,,{},7
7,script,3,,,{},96
8,script,3,,,"{""src"": ""https://ei.phncdn.com/www-static/js/lib/interval-helper.js?cache=2026072903""}",0
9,script,3,,,{},15231
10,script,3,,,{},42543
11,script,3,,,{},405
12,script,3,,,"{""src"": ""https://ei.phncdn.com/www-static/js/lib/utils/mg_utils-2.0.0.js?cache=2026072903""}",0
13,script,3,,,{},5099
14,script,3,,,{},75
15,script,3,,,"{""src"": ""https://static.trafficjunky.com/ab/ads_test.js""}",0
16,script,3,,,"{""src"": ""https://ei.phncdn.com/www-static/js/lib/ph-functions.js?cache=2026072903""}",0
17,script,3,,,"{""type"": ""text/javascript""}",444
18,script,3,,,{},4729
19,script,3,,,{},96
20,script,3,,,{},2906
21,link,3,,,"{""rel"": ""stylesheet"", ""href"": ""https://ei.phncdn.com/www-static/css/global-backgrounds.css?cache=2026072903"", ""type"": ""text/css""}",0
22,link,3,,,"{""rel"": ""stylesheet"", ""href"": ""https://ei.phncdn.com/www-static/css/generated-header.css?cache=2026072903"", ""type"": ""text/css""}",0
23,link,3,,,"{""rel"": ""stylesheet"", ""href"": ""https://ei.phncdn.com/www-static/css/./front-index-pc.css?cache=2026072903"", ""type"": ""text/css""}",0
24,link,3,,,"{""rel"": ""stylesheet"", ""href"": ""https://ei.phncdn.com/www-static/css/large.css?cache=2026072903"", ""type"": ""text/css"", ""media"": ""only screen and (min-width:1350px)""}",0
