index,kind,src_or_domain,length,obfuscation_score,flags
0,inline,,110,0,
1,external,https://ei.phncdn.com/www-static/js/lib/interval-helper.js?cache=2026072903,0,0,third_party
2,inline,,15236,2,minified
3,inline,,42543,2,minified
4,inline,,405,0,
5,external,https://ei.phncdn.com/www-static/js/lib/utils/mg_utils-2.0.0.js?cache=2026072903,0,0,third_party
6,inline,,5105,0,
7,inline,,86,0,
8,external,https://static.trafficjunky.com/ab/ads_test.js,0,0,third_party
9,external,https://ei.phncdn.com/www-static/js/lib/ph-functions.js?cache=2026072903,0,0,third_party
10,inline,,458,0,
11,inline,,4739,0,minified
12,inline,,110,0,
13,inline,,2912,0,
14,inline,,653,0,
15,inline,,1996,2,
16,inline,,1873,2,
17,inline,,1040,0,
18,inline,,223,0,
19,inline,,540,0,
20,inline,,49900,2,minified
21,external,https://ei.phncdn.com/www-static/js/mg_modal-2.0.0.js?cache=2026072903,0,0,third_party
22,external,https://ei.phncdn.com/www-static/js/lib/utils/mg_utils-1.0.0.js?cache=2026072903,0,0,third_party
23,external,https://ei.phncdn.com/www-static/js/lib/ph-functions.js?cache=2026072903,0,0,third_party
24,external,https://media.trafficjunky.net/delivery/js/abp/js1.js,0,0,third_party
25,inline,,2968,0,
26,inline,,5516,0,
27,inline,,491,0,
28,inline,,13650,0,
29,inline,,206,0,
30,inline,,10500,0,
31,inline,,778,2,
32,external,https://ei.phncdn.com/www-static/js/lib/vue/vue.min.js,0,0,third_party
33,external,https://ei.phncdn.com/www-static/js/lib/vue/vue-custom-element.min.js,0,0,third_party
34,external,https://ei.phncdn.com/www-static/js/mg_modal-1.0.0.js?cache=2026072903,0,0,third_party
35,external,https://ei.phncdn.com/www-static/js/lib/generated-lib.js?cache=2026072903,0,0,third_party
36,external,https://ei.phncdn.com/www-static/js/front-index.js?cache=2026072903,0,0,third_party
37,inline,,11140,0,
38,inline,,1650,1,
39,inline,,60,0,
40,external,https://ei.phncdn.com/www-static/js/sfw_functions.js?cache=2026072903,0,0,third_party
41,inline,,5735,0,
42,inline,,656,0,
43,inline,,3168,2,
